སྨྱལ	4	86	ew	1277459924	6.731726501997317e-08	0.9999431192593398	23.824448195358467
བཙུས	4	86		1277460010	6.731726501997317e-08	0.9999431865766047	23.824448195358467
འགྱའ	4	86	ew	1277460096	6.731726501997317e-08	0.9999432538938697	23.824448195358467
མོོ	3	84	sk	1277460180	6.575174722881101e-08	0.999943319645617	23.858395527281807
གཉུགས	5	84		1277460264	6.575174722881101e-08	0.9999433853973643	23.858395527281807
གཏེམ	4	84		1277460348	6.575174722881101e-08	0.9999434511491115	23.858395527281807
བསྲེད	5	84		1277460432	6.575174722881101e-08	0.9999435169008588	23.858395527281807
རྩའ	3	84		1277460516	6.575174722881101e-08	0.9999435826526061	23.858395527281807
བསྙེང	5	84		1277460600	6.575174722881101e-08	0.9999436484043533	23.858395527281807
འབྱིངས	6	84		1277460684	6.575174722881101e-08	0.9999437141561006	23.858395527281807
རྷི	3	84	sk	1277460768	6.575174722881101e-08	0.9999437799078479	23.858395527281807
རྟལ	3	84		1277460852	6.575174722881101e-08	0.9999438456595952	23.858395527281807
བསྒྲས	5	84	ew	1277460936	6.575174722881101e-08	0.9999439114113424	23.858395527281807
རྗའི	4	84		1277461020	6.575174722881101e-08	0.9999439771630897	23.858395527281807
ཟླད	3	84		1277461104	6.575174722881101e-08	0.999944042914837	23.858395527281807
བསྐུལད	6	84		1277461188	6.575174722881101e-08	0.9999441086665842	23.858395527281807
བཀུལ	4	84		1277461272	6.575174722881101e-08	0.9999441744183315	23.858395527281807
བསྐྲན	5	84		1277461356	6.575174722881101e-08	0.9999442401700788	23.858395527281807
རྟད	3	84		1277461440	6.575174722881101e-08	0.999944305921826	23.858395527281807
ཡབས	3	84		1277461524	6.575174722881101e-08	0.9999443716735733	23.858395527281807
མངོར	4	84		1277461608	6.575174722881101e-08	0.9999444374253206	23.858395527281807
ཇོའོ	4	84		1277461692	6.575174722881101e-08	0.9999445031770678	23.858395527281807
གདོནད	5	84		1277461776	6.575174722881101e-08	0.9999445689288151	23.858395527281807
པྱིས	4	84		1277461860	6.575174722881101e-08	0.9999446346805624	23.858395527281807
འཕྱམས	5	84		1277461944	6.575174722881101e-08	0.9999447004323097	23.858395527281807
བགྲགས	5	84		1277462028	6.575174722881101e-08	0.9999447661840569	23.858395527281807
བསོངས	5	84	ew	1277462112	6.575174722881101e-08	0.9999448319358042	23.858395527281807
ཧེའ	3	84		1277462196	6.575174722881101e-08	0.9999448976875515	23.858395527281807
ཁྲོའེ	5	82		1277462278	6.418622943764885e-08	0.9999449618737809	23.893160945442485
རྡུད	4	82		1277462360	6.418622943764885e-08	0.9999450260600103	23.893160945442485
བཞོར	4	82		1277462442	6.418622943764885e-08	0.9999450902462398	23.893160945442485
མཁྱིལ	5	82	ew	1277462524	6.418622943764885e-08	0.9999451544324692	23.893160945442485
མཛེམ	4	82		1277462606	6.418622943764885e-08	0.9999452186186987	23.893160945442485
ལྟོབ	4	82		1277462688	6.418622943764885e-08	0.9999452828049281	23.893160945442485
ཤྱི	3	82	sk	1277462770	6.418622943764885e-08	0.9999453469911576	23.893160945442485
གཟེབས	5	82		1277462852	6.418622943764885e-08	0.999945411177387	23.893160945442485
བཤོངས	5	82		1277462934	6.418622943764885e-08	0.9999454753636164	23.893160945442485
བསྔང	4	82	ew	1277463016	6.418622943764885e-08	0.9999455395498459	23.893160945442485
སླེའོ	5	82		1277463098	6.418622943764885e-08	0.9999456037360753	23.893160945442485
འཐལ	3	82		1277463180	6.418622943764885e-08	0.9999456679223048	23.893160945442485
འགྲིང	5	82		1277463262	6.418622943764885e-08	0.9999457321085342	23.893160945442485
མཇལད	4	82		1277463344	6.418622943764885e-08	0.9999457962947637	23.893160945442485
པོངས	4	82		1277463426	6.418622943764885e-08	0.9999458604809931	23.893160945442485
འབིད	4	82		1277463508	6.418622943764885e-08	0.9999459246672225	23.893160945442485
བསྲོའོ	6	82		1277463590	6.418622943764885e-08	0.999945988853452	23.893160945442485
བསྐྱེང	6	82		1277463672	6.418622943764885e-08	0.9999460530396814	23.893160945442485
མཐུབ	4	82		1277463754	6.418622943764885e-08	0.9999461172259109	23.893160945442485
སྡགས	4	82	ew	1277463836	6.418622943764885e-08	0.9999461814121403	23.893160945442485
གཅུམ	4	82		1277463918	6.418622943764885e-08	0.9999462455983698	23.893160945442485
ཕྱེང	4	82		1277464000	6.418622943764885e-08	0.9999463097845992	23.893160945442485
འཕྲུམ	5	82		1277464082	6.418622943764885e-08	0.9999463739708286	23.893160945442485
མོགས	4	82		1277464164	6.418622943764885e-08	0.9999464381570581	23.893160945442485
འཚུངས	5	82		1277464246	6.418622943764885e-08	0.9999465023432875	23.893160945442485
བསྲེཊ	5	82		1277464328	6.418622943764885e-08	0.999946566529517	23.893160945442485
བལྐ	3	82		1277464410	6.418622943764885e-08	0.9999466307157464	23.893160945442485
ཁྱེངས	5	82	ew	1277464492	6.418622943764885e-08	0.9999466949019759	23.893160945442485
བརྒས	4	82	ew	1277464574	6.418622943764885e-08	0.9999467590882053	23.893160945442485
བསྒྲལད	6	82		1277464656	6.418622943764885e-08	0.9999468232744347	23.893160945442485
རྔལ	3	82		1277464738	6.418622943764885e-08	0.9999468874606642	23.893160945442485
ཉུབ	3	82		1277464820	6.418622943764885e-08	0.9999469516468936	23.893160945442485
སྨྲོ	4	82		1277464902	6.418622943764885e-08	0.9999470158331231	23.893160945442485
རྩའུ	4	82		1277464984	6.418622943764885e-08	0.9999470800193525	23.893160945442485
འིལ	3	82		1277465066	6.418622943764885e-08	0.999947144205582	23.893160945442485
བསྩུ	4	80		1277465146	6.262071164648667e-08	0.9999472068262936	23.928784855173205
རྟུགས	5	80		1277465226	6.262071164648667e-08	0.9999472694470052	23.928784855173205
པྲེང	4	80		1277465306	6.262071164648667e-08	0.9999473320677168	23.928784855173205
བཙུབ	4	80		1277465386	6.262071164648667e-08	0.9999473946884284	23.928784855173205
རླེ	3	80		1277465466	6.262071164648667e-08	0.99994745730914	23.928784855173205
རྨུའུ	5	80		1277465546	6.262071164648667e-08	0.9999475199298516	23.928784855173205
བཏིབ	4	80		1277465626	6.262071164648667e-08	0.9999475825505633	23.928784855173205
འཐེངས	5	80		1277465706	6.262071164648667e-08	0.9999476451712749	23.928784855173205
ཙགས	3	80		1277465786	6.262071164648667e-08	0.9999477077919865	23.928784855173205
ཀྲུབ	4	80		1277465866	6.262071164648667e-08	0.9999477704126981	23.928784855173205
ཀྲེད	4	80		1277465946	6.262071164648667e-08	0.9999478330334097	23.928784855173205
ངེན	3	80		1277466026	6.262071164648667e-08	0.9999478956541213	23.928784855173205
འབྲུང	5	80		1277466106	6.262071164648667e-08	0.999947958274833	23.928784855173205
རྨྱོ	4	80		1277466186	6.262071164648667e-08	0.9999480208955446	23.928784855173205
ཝྭ	2	80	ew	1277466266	6.262071164648667e-08	0.9999480835162562	23.928784855173205
བཞོང	4	80		1277466346	6.262071164648667e-08	0.9999481461369678	23.928784855173205
རྙེག	4	80		1277466426	6.262071164648667e-08	0.9999482087576794	23.928784855173205
ལཱིན	4	80		1277466506	6.262071164648667e-08	0.999948271378391	23.928784855173205
སྐེན	4	80	ew	1277466586	6.262071164648667e-08	0.9999483339991027	23.928784855173205
བཀྲཾ	4	80	sk	1277466666	6.262071164648667e-08	0.9999483966198143	23.928784855173205
བསྐྲུར	6	80		1277466746	6.262071164648667e-08	0.9999484592405259	23.928784855173205
མཁྲེང	5	80		1277466826	6.262071164648667e-08	0.9999485218612375	23.928784855173205
གྲྭན	4	80		1277466906	6.262071164648667e-08	0.9999485844819491	23.928784855173205
བརྒལད	5	80		1277466986	6.262071164648667e-08	0.9999486471026607	23.928784855173205
བསྒྲི	5	80		1277467066	6.262071164648667e-08	0.9999487097233724	23.928784855173205
ཕྱིའུ	5	80		1277467146	6.262071164648667e-08	0.999948772344084	23.928784855173205
སྦྱིད	5	80	ew	1277467226	6.262071164648667e-08	0.9999488349647956	23.928784855173205
ལྭན	3	80		1277467306	6.262071164648667e-08	0.9999488975855072	23.928784855173205
ལྕིན	4	80		1277467386	6.262071164648667e-08	0.9999489602062188	23.928784855173205
སྒྱིགས	6	78	ew	1277467464	6.105519385532451e-08	0.9999490212614127	23.965310731198322
སྐྲོབ	5	78		1277467542	6.105519385532451e-08	0.9999490823166066	23.965310731198322
སྒྱིག	5	78		1277467620	6.105519385532451e-08	0.9999491433718005	23.965310731198322
དཔྲག	4	78		1277467698	6.105519385532451e-08	0.9999492044269944	23.965310731198322
སྣེད	4	78		1277467776	6.105519385532451e-08	0.9999492654821883	23.965310731198322
ཛེག	3	78		1277467854	6.105519385532451e-08	0.9999493265373822	23.965310731198322
འགྱེངས	6	78		1277467932	6.105519385532451e-08	0.9999493875925761	23.965310731198322
བརྡན	4	78		1277468010	6.105519385532451e-08	0.99994944864777	23.965310731198322
བྲེངས	5	78		1277468088	6.105519385532451e-08	0.9999495097029639	23.965310731198322
བརྩིངས	6	78		1277468166	6.105519385532451e-08	0.9999495707581578	23.965310731198322
ལྟམས	4	78		1277468244	6.105519385532451e-08	0.9999496318133517	23.965310731198322
དྷར	2	78	sk	1277468322	6.105519385532451e-08	0.9999496928685456	23.965310731198322
པྲར	3	78		1277468400	6.105519385532451e-08	0.9999497539237395	23.965310731198322
རོམས	4	78		1277468478	6.105519385532451e-08	0.9999498149789334	23.965310731198322
སྟིངས	5	78		1277468556	6.105519385532451e-08	0.9999498760341273	23.965310731198322
སྣོགས	5	78		1277468634	6.105519385532451e-08	0.9999499370893212	23.965310731198322
